,Headlines,Date
0,Invest in Reliance Industries: Dalal,31 Dec 2010 
1,RIL's Nov crude imports down 7% MoM,31 Dec 2010 
2,Hold Reliance Industries: VK Sharma,29 Dec 2010 
3,Expect 20% return in RIL: Choksey, 29 Dec 2010
4,Prefer RIL to Cairn India: Devang Mehta,28 Dec 2010 
5,Buy Reliance Industries: SP Tulsian,28 Dec 2010 
6,BSE launches Islamic index,28 Dec 2010 
7,RIL may see 15-20% rise: Sanjay Dutt,24 Dec 2010 
8,"Nov refinery output dips again, Dec may recover",24 Dec 2010 
9,RIL may not see major fall: Deven Choksey,23 Dec 2010 
10,Reliance Industries an underperformer: Dhawan,22 Dec 2010 
11,PNGRB gets RIL explanation on Kakinada pipeline delay,22 Dec 2010 
12,RIL teams up with Russia's SIBUR for 0M rubber plant,22 Dec 2010 
13,RIL may see buying interest at Rs 1000: SP Tulsian,22 Dec 2010 
14,Russia Sibur and Reliance create $450 mn JV,22 Dec 2010 
15,Bhat positive on Reliance Industries,21 Dec 2010 
16,"Reliance Industries plans to shut 200,000 bpd FCC",20 Dec 2010 
17,IT sector looks strong: Bala,20 Dec 2010 
18,Hold Reliance Industries: Mohindar,20 Dec 2010 
19,"Prefer RIL to ONGC, says Bhambwani",20 Dec 2010 
20,No out-of-court settlement with RIL: NTPC,18 Dec 2010 
21,"Q3 advance tax update: Banks, auto excel", 15 Dec 2010
22,Reliance Industries may go upto Rs 1090: Mohindar,14 Dec 2010 
23,Cairn India has target of Rs 348-355: Thacker,13 Dec 2010 
24,Hold Reliance Industries; target of Rs 1190: Sharekhan,10 Dec 2010 
25,Add Reliance Industries; target of Rs 1146: IIFL,09 Dec 2010 
26,Reliance Inds has long term support at Rs 960: Mohindar,07 Dec 2010 
27,Accumulate ONGC: Mehta,07 Dec 2010 
28,Reliance may not be an outperformer: TS Harihar,03 Dec 2010 
29,"Buy RIL, says Shardul Kulkarni",02 Dec 2010 
30,Scamgate: India in 2010, 02 Dec 2010
31,Sharekhan view on Reliance Industries,01 Dec 2010 
32,Reliance Industries may fall by Rs 10-15: Tulsian, 01 Dec 2010
33,Buy Reliance Industries at lower levels: Baliga,30 Nov 2010 
34,RIL may correct Rs 30-35 from current level: SP Tulsian,30 Nov 2010 
35,"Charts of RIL, Cairn not exciting right now: Gujral",30 Nov 2010 
36,HSBC raises Reliance Industries to neutral,24 Nov 2010 
37,Reliance Industries could be outperformer: Kedia,23 Nov 2010 
38,Motilal Oswal neutral on Reliance Industries,22 Nov 2010 
39,Buy Reliance Industries; target of Rs 1260: Angel Broking, 22 Nov 2010
40,"Stay away from RIL, says Anu Jain", 22 Nov 2010
41,Reliance says restarts crude distillation unit at Jamnagar, 19 Nov 2010
42,Buy Reliance Industries: Harihar,19 Nov 2010 
43,Reliance Industries may see 2-2.5% downsides: Bhambwani,19 Nov 2010 
44,"HPCL Bathinda plant to hit 180,000 bpd by Sept", 13 Nov 2010
45,Reliance Ind has support at Rs 1028-1020: Bhambwani,12 Nov 2010 
46,RIL aims USD 1.5-2 bn EBITDA from shale JVs in 5 Years,12 Nov 2010 
47,"Pharma, auto remain in a bullish uptrend: M Pradhan", 12 Nov 2010
48,Cement stocks may see 5-6% upside: Mohindar,08 Nov 2010 
49,Reliance Industries has target of Rs 1140: Mohindar,04 Nov 2010 
50,Keep RIL in portfolio: SP Tulsian,04 Nov 2010 
51,Buy Reliance Industries on dips: Gujral,04 Nov 2010 
52,Reliance Industries may test Rs 1130-1135: Thacker, 04 Nov 2010
53,"Reliance, ICICI Bank potential to move up 25%: Gautam Shah", 03 Nov 2010
54,Hold Reliance Industries: Vikas Pershad,03 Nov 2010 
55,RIL has resistance between Rs 1100-1150: Pandey,01 Nov 2010 
56,RIL has support at Rs 1060: Bhambwani,01 Nov 2010 
57,Remain invested in Reliance Industries: Tulsian,01 Nov 2010 
58,Hold Reliance Industries: Prayesh Jain, 01 Nov 2010
59,"RIL nos broadly inline, sticking to prior estimates: IIFL", 01 Nov 2010
60,Buy Reliance Industries: Sanju Verma, 01 Nov 2010
61,Book profits in Reliance at around Rs 1140: Amit Gupta, 01 Nov 2010
62,Reliance in no hurry for more US shale gas JVs, 31 Oct 2010
63,RIL Sept quarter results: How do experts interpret it?,30 Oct 2010 
64,"RIL Q2 net profit up 28% at Rs 4,923 cr", 30 Oct 2010
65,RIL can test Rs 1110-1125: Amit Harchekar,29 Oct 2010 
66,RIL Q2 net profit seen up 27.7% at Rs 4920 cr,29 Oct 2010 
67,RIL will help to take index to new high: Andrew Holland,28 Oct 2010 
68,Buy RIL at around Rs 1050: Kulkarni,28 Oct 2010 
69,"Reliance Q2 net seen up, gas prices to boost ONGC", 28 Oct 2010
70,RIL has resistance at Rs 1110-1105: Bothra,27 Oct 2010 
71,Upside capped in RIL: Jai Bala,27 Oct 2010 
72,Reliance Industries to reach peak gas output in 1 year,26 Oct 2010 
73,RIL to reach peak gas output in 1 year, 26 Oct 2010
74,Reliance Industries can test Rs 1098-1100: Jain,25 Oct 2010 
75,"Reliance to shut CDU, coker at 660,000 bpd plant", 22 Oct 2010
76,"Reliance plans to shut 160,000 bpd coker",22 Oct 2010 
77,Reliance an underperformer: Nitin Raheja,22 Oct 2010 
78,Enter RIL on bounce: Daryl Guppy,22 Oct 2010 
79,Reliance Industries may go upto Rs 1094-1097: Bhambwani,21 Oct 2010 
80,Gaurav Doshi positive on Reliance Industries,21 Oct 2010 
81,RIL can add 2-3%: Jitendra Panda,21 Oct 2010 
82,Buy Reliance Industries; target of Rs 1105: IIFL, 21 Oct 2010
83,Buy Reliance Industries: Thacker,21 Oct 2010 
84,See 15-20% move in RIL: Rahul Shah,20 Oct 2010 
85,"Reliance to shut CDU at 660,000 bpd refinery Nov",19 Oct 2010 
86,RIL good above Rs 1100: Gujral, 19 Oct 2010
87,RIL can go upto Rs 1080-1100: Bhamre, 19 Oct 2010
88,RIL to evaluate blocks offered in NELP IX: Ambani ,18 Oct 2010 
89,Baliga positive on Reliance Industries,15 Oct 2010 
90,RIL raises USD 1.5 bn via long term bonds ,15 Oct 2010 
91,RIL could touch Rs 1020: Gujral,14 Oct 2010 
92,Sell RIL at higher level: Prashastha Seth,14 Oct 2010 
93,Reliance Industries may go upto Rs 1120: Choksey,13 Oct 2010 
94,Reliance Industries can go upto Rs 1080-1100: Bhamre, 12 Oct 2010
95,RIL has short term target of Rs 1095-1125: Thacker,12 Oct 2010 
96,Rupee off highs as capital control talks weigh,12 Oct 2010 
97,Book profit in Reliance Industries: Gujral,11 Oct 2010 
98,Buy Reliance Industries: Jatinder Sharma,11 Oct 2010 
99,Which sectors will hog limelight on back of Q2 earnings?,11 Oct 2010 
100,Buy Reliance Industries; target of Rs 1098: IIFL, 11 Oct 2010
101,Mithiil Pradhan bullish on Reliance Industries, 11 Oct 2010
102,CNOOC to pay $1.1 bn for stake in Chesapeake unit,11 Oct 2010 
103,RIL Sept qtr PAT seen up by 29.6% at Rs 4991.1cr: MOST , 09 Oct 2010
104,RIL Sept qtr PAT seen up 32.3% at Rs 5095cr: Angel ,09 Oct 2010 
105,Looking at expanding portfolio of foods business: ITC,08 Oct 2010 
106,Reliance Industries may move upto Rs 1100-1120: Vora,08 Oct 2010 
107,Below Rs 1048 Reliance Industries may slip to Rs 900-840,08 Oct 2010 
108,Reliance Infotel taps banks for $1 bln loan,08 Oct 2010 
109,Avoid the large cap banks: Kulkarni,07 Oct 2010 
110,Reliance Industries may go upto Rs 1065-1070: Gujral,07 Oct 2010 
111,Hold Reliance Industries: Betadpur,07 Oct 2010 
112,Buy Reliance Industries; target of Rs 1260: Angel Broking, 07 Oct 2010
113,Reliance Ind resistance close to Rs 1045-1048: Sushil Kedia,06 Oct 2010 
114,"RIL, Chesapeake end Eagle Ford JV talks", 06 Oct 2010
115,Oil licensing round likely to open on Oct 15: Sources, 06 Oct 2010
116,ICICI taps banks for bond issue up to $1 bn,05 Oct 2010 
117,Reliance may slip to Rs 950-960: Deshmukh,05 Oct 2010 
118,Hold Reliance Industries: Gupta,05 Oct 2010 
119,"Prefer RIL, NTPC: Amisha Vora", 05 Oct 2010
120,RIL calls off talks to buy 4th shale asset in US, 05 Oct 2010
121,Reliance Industries may move up Rs 50-60: Mohindar,04 Oct 2010 
122,RIL to remain in Rs 950-1050 range: Tulsian, 01 Oct 2010
