,tweets,time
0,"#RelianceIndustries hits my all 3 targets. 👊

#RelianceIndustries stock totally reversed from harmonic 1.131 level I'm happy that my analysis works successfully. 😇✌

#Swingtrade https://t.co/JS39WH7psi",2021-06-05 14:01:14
1,"RT @MedhajNewsApp: देश के सबसे बड़े औद्योगिक घराने रिलायंस ने कोविड की संभावित दवा के रूप में निकोलामाइड का प्रस्ताव रखा 
.
@reliancegroup…",2021-06-05 13:14:29
2,"@Abhishekkar_ In my opinion,all stocks if they will give you losses.
Sometimes #RelianceIndustries is good and #vodafoneidea is worst.",2021-06-05 11:52:54
3,"If the employee of @reliance industry died because of #COVID19  , it will supports their family with continue monthly #salary  for 5 years and if they have child , reliance will provide them #education upto bachelor #degree.
 https://t.co/Glp5noGwdZ

#Reliance #relianceindustries https://t.co/XYOS8MFxJq",2021-06-05 03:40:00
4,RT @LaughingColours: #RelianceIndustries #MukeshAmbani #Motivational https://t.co/OVynRTZ3Nx,2021-06-04 22:46:03
5,"RT @pankaju17: COVID-19 | Reliance to offer full salary for 5 years to family of deceased employees, education for children #RelianceIndust…",2021-06-04 21:28:44
6,"RT @TV9Marathi: अंबानी VS अदानी : रिलायन्स इंडस्ट्रीजच्या तुलनेत 2 महिन्यांच्या कालावधीत अदानी एंटरप्रायजेसचा शेअर्स 6 पट वाढला, गुंतवणूकदा…",2021-06-04 17:32:51
7,"अंबानी VS अदानी : रिलायन्स इंडस्ट्रीजच्या तुलनेत 2 महिन्यांच्या कालावधीत अदानी एंटरप्रायजेसचा शेअर्स 6 पट वाढला, गुंतवणूकदार झाले श्रीमंत
#AdaniEnterprises #Ambanivsadani #GautamAdani #mukeshambani #RelianceIndustries 
https://t.co/H3AyjgkfuG",2021-06-04 17:32:02
8,"RT @pankaju17: COVID-19 | Reliance to offer full salary for 5 years to family of deceased employees, education for children #RelianceIndust…",2021-06-04 16:14:57
9,"Corona Pandemic: Reliance ने 2020-21 में सीएसआर पहल के तहत 1,140 करोड़ रूपय खर्च किए #relianceindustries #Coronavirus https://t.co/2TKCXGykfR",2021-06-04 14:47:02
10,"Reliance Industries: కరోనా కాలంలోనూ రిలయన్స్ ఇండస్ట్రీస్ సేవాభావం... రూ. 1140 కోట్లు ఖర్చు
#RelianceIndustries #MukeshAmbani 
https://t.co/7l1PXBUaJK",2021-06-04 14:43:35
