,Headlines,Date
0,TCS pips Reliance to become India's most valuable firm,30 Dec 2011 
1,SP Tulsian`s view on Reliance Industries,30 Dec 2011 
2,Reliance Industries may dip to Rs 635- 640 levels: Diwan,30 Dec 2011 
3,"Infosys, TCS, Wipro top IT picks for 2012: Sukhani",30 Dec 2011 
4,"Reliance Industries may dip further to Rs 630, says Sukhani",30 Dec 2011 
5,TCS overtakes RIL as country's most valued firm,30 Dec 2011 
6,"RIL, ONGC, Tata Steel, Hindalco top picks for 2012: Sukhani",30 Dec 2011 
7,"SBI a best bet in banking space, says Paul", 30 Dec 2011
8,"Cummins India remains top pick for 2012, says Dilip Bhat", 30 Dec 2011
9,RIL likely to trade in Rs 700- 800 range: SP Tulsian,29 Dec 2011 
10,Buy Reliance Industries Jan 740 Put around Rs 28: Sharma, 29 Dec 2011
11,Is bitter rivalry between Ambani brothers over?,29 Dec 2011 
12,Celebration continues at Ambani hometown ,28 Dec 2011 
13,"Cairn India a top pick, says PN Vijay", 28 Dec 2011
14,RIL a good buy at around Rs 700: Harchekar,27 Dec 2011 
15,Delay in govt decision making hurting output: Gujarat Gas,27 Dec 2011 
16,Apollo Hospitals a top pick for 2012: Baliga, 27 Dec 2011
17,"Bharti Airtel may test Rs 355- 360, says Sukhani",26 Dec 2011 
18,Buy Reliance Industries at current levels: Agarwal,26 Dec 2011 
19,"Stay away from Bharti Airtel, Idea Cellular: Sukhani",26 Dec 2011 
20,"Cairn India may test Rs 330, says Sukhani",26 Dec 2011 
21,"Buy Reliance Industries around Rs 740, says Sukhani",23 Dec 2011 
22,"RIL, BP to start workover on 6 KG-D6 wells: DGH",21 Dec 2011 
23,Buy Reliance for medium-term: Bandyopadhyay,21 Dec 2011 
24,Accumulate Reliance Industries; target Rs 841: R K Global, 21 Dec 2011
25,"Reliance Industries best company to own, says Rajen Shah",20 Dec 2011 
26,Reliance Industries denies Network 18 stake report, 20 Dec 2011
27,Mercator may test Rs 12- 14 levels: Sukhani,19 Dec 2011 
28,Consumer forum issues arrest warrant against Mukesh Ambani,16 Dec 2011 
29,RIL's D6 block gas output falls to all-time low, 15 Dec 2011
30,DGH proposes formula for curbing RIL's KG-D6 cost recovery,13 Dec 2011 
31,IOC tops Fortune India 500 list; RIL at second spot,12 Dec 2011 
32,Reliance Industries may slip to Rs 600: Sukhani,12 Dec 2011 
33,Reliance Industries can go down to Rs 720: Anu Jain, 12 Dec 2011
34,Oil Min is taking 'scrupulous' action against RIL: Source,11 Dec 2011 
35,Reliance Industries sees Africa sales potential,11 Dec 2011 
36,RIL appoints ex-Chief Justice of India as its arbitrator,09 Dec 2011 
37,Sideways movement seen in Reliance Industries: Mehta,09 Dec 2011 
38,"Sesa Goa may slip to Rs 165, says Sukhani",09 Dec 2011 
39,No change in output-sharing deal with RIL: Oil Min, 09 Dec 2011
40,Reliance Industries may slip to Rs 755: Sukhani, 09 Dec 2011
41,Reliance Industries may slip to Rs 730- 740: Mohindar,08 Dec 2011 
42,"Bank of Baroda, L&T, Reliance Ind top picks: PN Vijay",05 Dec 2011 
43,Anu Jain`s view on Reliance, 05 Dec 2011
44,Choksey's view on Reliance Industries,02 Dec 2011 
45,"Sell Reliance Industries, says Sukhani",02 Dec 2011 
46,"Buy SAIL, Hindalco for long term: Sukhani",01 Dec 2011 
47,Reliance to issue $1bn bond: Sources, 30 Nov 2011
48,Reliance plans to launch $1bn bond issue: Sources,30 Nov 2011 
49,Reliance may see upside of Rs 100: Malkani,30 Nov 2011 
50,Devangshu Dutta's view on Reliance,30 Nov 2011 
51,"Sell Infosys, says Sukhani", 30 Nov 2011
52,Reliance Industries plans to raise $1bn bond: Report,30 Nov 2011 
53,Reliance Industries continue to underperform: Irani,29 Nov 2011 
54,Prefer Bharti Airtel over Reliance Industries: Paul,29 Nov 2011 
55,Mohindar negative on Reliance Industries,29 Nov 2011 
56,Sell Reliance Industries: Ashish Maheshwari,29 Nov 2011 
57,Stay away from Reliance Industries: Jatinder Sharma, 29 Nov 2011
58,"Short Reliance Industries, says Sudarshan Sukhani", 29 Nov 2011
59,RIL started arbitration before notice was sent: Sources, 29 Nov 2011
60,"Prefer ACC, Hindustan Zinc over Lovable Lingerie: Sukhani",28 Nov 2011 
61,Amit Gupta bearish on Reliance Industries, 28 Nov 2011
62,Do not know why deal with RIL fell through: Bharti AXA GI,25 Nov 2011 
63,Reliance likely to slip further: Sukhani,25 Nov 2011 
64,Bharti ends talks with RIL to sell insurance JVs stake,25 Nov 2011 
65,Buy Reliance Industries; target Rs 1020: KRChoksey,24 Nov 2011 
66,Reliance Industries likely to slips further: Sukhani,23 Nov 2011 
67,RIL will continue to outperform: Krishna Kumar Karwa,23 Nov 2011 
68,SBI may underperform: Prabhudas Lilladher,23 Nov 2011 
69,"Bull's Eye: Short RIL, Titan, Rel Cap; pick Idea, M&M", 22 Nov 2011
70,RIL may slip to Rs 680-690: Sukhani,21 Nov 2011 
71,"Short RIL, says Sudarshan Sukhani",21 Nov 2011 
72,RIL-BP form a JV to market natural gas in India,18 Nov 2011 
73,"Short Reliance Industries, says Sukhani",18 Nov 2011 
74,JM Financial' s view on Reliance,18 Nov 2011 
75,"Buy Reliance Ind around Rs 795- 800, says Vishal Malkan",17 Nov 2011 
76,PN Vijay positive on Reliance Industries,17 Nov 2011 
77,Reliance Ind likely to trade in Rs 800- 900 range: Tulsian,17 Nov 2011 
78,"Adani Enterprises may slip further to Rs 300, says Sukhani",17 Nov 2011 
79,"Anil Manghnani's view on RIL, HUL",16 Nov 2011 
80,Reliance denies Kingfisher stake-buy talks report, 16 Nov 2011
81,2-day world economic forum kicks off in Mumbai, 13 Nov 2011
82,India is a land of billion opportunities: Mukesh Ambani, 13 Nov 2011
83,Buy Reliance Industries on every dips: Sukhani,11 Nov 2011 
84,"Sell Sterlite Industries, RIL, Jindal Steel: Sharekhan",11 Nov 2011 
85,New fertiliser units to be viable with gas at $7-8/mmBtu, 04 Nov 2011
86,"Bajaj Auto, M&M top picks in auto space, says Singal",04 Nov 2011 
